input\1.xlsx,5,System Builder,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
input\1.xlsx,5,System Builder,2,,Star Properties,,Equations are ideal for stars 0.18-1.2 solar masses and planets >0.01 Earth masses,,,,,,,,Planet Properties,,(see notes and caveats under each column),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
input\1.xlsx,5,System Builder,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
input\1.xlsx,5,System Builder,4,,,,,,,,,,,,Mass (Earth,Mass (Jupiter,Metal core,water mass,Radius,Radius,Surface area,Density,Semimajor,Period,Period,Period ratio,Synodic day,,,Periapsis,Apoapsis,min separation from,Hill radius,Roche limit,Bond,Equilibrium,CO2 Partial,Avg. surface,Habitable,Primary apparent,Primary apparent,Secondary apparent,Secondary apparent,Surface illumination,Avg Irradiance,Geometric,Planet absolute,Rad abundance,Radiogenic,Priomordial,Tidal heating,Total surface,Tectonic,Surface,Induced tide,Orbit velocity at,Escape velocity,Rotation,Surface-synchronous,Avg. orbital,Min mass gas,0-altitude,Average molar,Altitude of,Distance to
input\1.xlsx,5,System Builder,5,,,,,System age (billion years),,,0.0015,,,Suffix,masses),Masses),mass fraction,fraction,(Earth radii),override,(ratio to Earth),(g/cm^3),axis (AU),(days),(years),too above,length (hours),Days/year,Eccentricity,(AU),(AU),above (Hill radii),(km),(Luna; km),albedo,temp (K),pressure (bar),temp (K),zone,Diameter (°),magnitude,diameter (°),magnitude,under direct light (lx),(relative to Earth),albedo,magnitude,(ratio to Earth),heating (W/m^2),heating (W/m^2),(W/m^2),flux (W/m^2),habitability,gravity (g),by star (m),surface (km/s),at surface (km/s),period (hours),altitude (km),speed (km/s),retained (g/mol),pressure (atm),mass (g/mol),10^-6 atm (km),horizon (km)
input\1.xlsx,5,System Builder,6,,,,,,,,,,,b,0.73,0.00229559748427673,,,0.923267631555188,,0.852423119477527,5.11385493694987,1.373,159.160823352095,0.435770516241636,,377.3,10.1241976158237,1,0,2.746,,774502.165033986,16669,,-2218,,#NUM!,#NUM!,2.4864348470844,#NUM!,0,#NUM!,#NUM!,#DIV/0!,,#NUM!,,0,0.120220142678159,0.00150180815957699,0.121721950837736,Ideal,0.856382215967391,0.000134823715772792,7.03196486431899,9.94470008125099,343.38294701064,218271.39732681,93.8319607342268,#NUM!,,,#DIV/0!,4.6017062411998
input\1.xlsx,5,System Builder,7,,,,,Primary,,Secondary,,,,c,3.5,0.0110062893081761,,,1.68992503165354,,#DIV/0!,3.99694925241328,5.045,1121.04228599924,3.0693305388217,7.04345618720048,464.4,57.9350018604258,0.4,3.027,7.063,14.3787098758116,4798752.27332113,28107,,-1237,,#NUM!,#NUM!,0.676635679868367,#NUM!,0,#NUM!,#NUM!,-441.274856397007,,#NUM!,,0,0.17204528128774,8.50010281131898E-08,0.172045366288768,Ideal,1.22555601710074,6.36221766613266E-06,11.3809723911455,16.0951255085517,456.520132597945,446232.009373803,48.9503281330731,#NUM!,,,#DIV/0!,6.2257086179802
input\1.xlsx,5,System Builder,8,,Star Mass (sun masses),,,,13.63,,,,,d,0.27,0.000849056603773585,,,0.699537534953112,,#DIV/0!,4.34703967338463,14.29,5344.15119376642,14.6318891516987,4.76712721768824,285.8,448.774068055962,0.261,10.56031,18.01969,60.9155467437829,5786260.23980749,11965,,-739,,#NUM!,#NUM!,0.238881010544723,#NUM!,0,#NUM!,#NUM!,-52.2188070920419,,#NUM!,,0,0.0774553317906008,1.04263673986697E-12,0.0774553317916434,Ideal,0.551749209405779,1.06555031653734E-07,4.91309812490344,6.94817000150827,285.16456985785,137700.968494226,29.0850573014397,#NUM!,,,#DIV/0!,4.00553571032273
input\1.xlsx,5,System Builder,9,,,,,calculated,override,calculated,override,,,e,0.84,0.00264150943396226,,,0.960139756561673,,#DIV/0!,5.23044733869462,23.773,11467.1726564116,31.3962672664868,2.14574255866625,944.64,291.340768709645,0.028,23.107356,24.438644,57.0793077011575,14052542.191305,17467,,-576,,#NUM!,#NUM!,0.143591808421877,#NUM!,0,#NUM!,#NUM!,-18.2210540312115,,#NUM!,,0,0.127914559421571,6.82103302679293E-16,0.127914559421571,Ideal,0.911193011517184,2.63995715306313E-08,7.39692957107217,10.4608381193289,941.408702483169,453995.477607237,22.5498714395275,#NUM!,,,#DIV/0!,4.69269481647762
input\1.xlsx,5,System Builder,10,,Effective Temperature (K),,,#NUM!,,0,,,,f,0.38,0.00119496855345912,,,0.769520432054773,,#DIV/0!,4.59606367097865,37.594,22803.8509460788,62.4352506463663,1.98862017947628,49.86,10976.5828861992,0.263,27.706778,47.481222,28.0215619371044,17059156.2924783,13409,,-456,,#NUM!,#NUM!,0.0908019238576199,#NUM!,0,#NUM!,#NUM!,-7.54916074742648,,#NUM!,,0,0.0900850833253271,9.96193248691109E-16,0.0900850833253281,Ideal,0.641716617241766,6.08880040902624E-09,5.55726091604582,7.85915375711793,49.8554580165309,44907.9918301467,17.9319192648703,#NUM!,,,#DIV/0!,4.20112081014525
input\1.xlsx,5,System Builder,11,,Luminosity (ratio to sun),,,-10293.6919285049,,0,,-3.91160293283187E+30,,g,0.99,0.00311320754716981,,,1.00517748302709,,#DIV/0!,5.37241863655472,53.926,39176.683667065,107.262850911907,1.71798542972855,539.63,1742.37979357997,0.023,52.685702,55.166298,22.349857844622,33670876.1838432,18450,,-382,,#NUM!,#NUM!,0.0633016975464375,#NUM!,0,#NUM!,#NUM!,-3.54070425591119,,#NUM!,,0,0.137549587050826,1.1346398423415E-18,0.137549587050826,Ideal,0.979827652337214,2.3053215635585E-09,7.8482944546765,11.0991644593011,539.320469052132,328840.640069215,14.972246509333,#NUM!,,,#DIV/0!,4.80149475889709
input\1.xlsx,5,System Builder,12,,Radius (sun radii),,,6.40566683475671,,0,,-3.59201802038452E-05,W/m^2,h,0.62,0.00194968553459119,,,0.882140605676645,,#DIV/0!,4.97784254952375,64.01,50664.3082472181,138.715114026991,1.29322605960674,7243,167.878420258627,0.021,62.66579,65.35421,25.9430835880323,34194495.6519822,15786,,-351,,#NUM!,#NUM!,0.0533292812294337,#NUM!,0,#NUM!,#NUM!,-2.51287736920255,,#NUM!,,0,0.111847340427127,1.76747786882336E-19,0.111847340427127,Ideal,0.796738974944205,1.30558877212147E-09,6.62988514887968,9.3760734945216,7200.11115731123,1608523.55461789,13.7423859472845,#NUM!,,,#DIV/0!,4.49804705572955
input\1.xlsx,5,System Builder,13,,(equations assume P-type planets and negligible binary separation),,,,,,,9.03189649610328E-09,W/m^2,i,2.74,0.00861635220125786,,,1.46300712865539,,#DIV/0!,4.82252116754701,112.623,118241.767400375,323.737179389923,2.33382772786339,3.71,764906.312023991,0.382,69.601014,155.644986,10.0374032578409,98731353.6628909,25905,,-262,,#NUM!,#NUM!,0.0303100362099951,#NUM!,0,#NUM!,#NUM!,-0.878150037086963,,#NUM!,,0,0.179707944755392,3.85321749562679E-18,0.179707944755392,Ideal,1.2801406197676,4.10340378690805E-10,10.8225880382218,15.3054507836301,3.70999514973914,7704.08170750329,10.3603066592359,#NUM!,,,#DIV/0!,5.79266342367556
input\1.xlsx,5,System Builder,14,,Peak wavelength of light (nm),,,#NUM!,,#DIV/0!,,-3977.03629789631,,j,0.47,0.00147798742138365,,,0.816536935382081,,#DIV/0!,4.7580966674447,200.057,279937.456073115,766.447968659278,2.36750060683063,73.48,91433.0286575225,0.15,170.04845,230.06555,14.322479710971,97446037.405374,14393,,-198,,#NUM!,#NUM!,0.0170631729001668,#NUM!,0,#NUM!,#NUM!,-0.260138888033674,,#NUM!,,0,0.0989591116700697,1.38872911436513E-21,0.0989591116700697,Ideal,0.704930317451496,4.1412795501089E-11,5.99984566088399,8.4850631057675,73.479196360468,64043.7927609416,7.77336698972678,#NUM!,,,#DIV/0!,4.327559101289
